GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,1892000.00,343400.00,0.15,6.93,0.00,0.00,0.00,0.00,0.00
1,1892000.00,255600.00,0.10,0.70,0.00,0.00,0.00,0.00,0.00
2,1892000.00,317800.00,0.15,1.12,0.00,0.00,0.00,0.00,0.00
3,2037000.00,494700.00,0.05,1.25,0.00,0.00,0.00,0.00,0.00
4,2037000.00,631100.00,0.10,0.92,0.00,0.00,0.00,0.00,0.00
5,2037000.00,270350.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00
6,5164000.00,682600.00,0.15,0.79,0.00,0.00,0.00,0.00,0.00
7,5164000.00,594700.00,0.20,1.46,0.00,0.00,0.00,0.00,0.00
8,5164000.00,695650.00,0.15,0.90,0.00,0.00,0.00,0.00,0.00
9,5164000.00,433050.00,0.15,0.72,0.00,0.00,0.00,0.00,0.00
10,5164000.00,524000.00,0.20,1.67,0.00,0.00,0.00,0.00,0.00
11,5164000.00,452650.00,0.15,1.05,0.00,0.00,0.00,0.00,0.00
12,5164000.00,556450.00,0.05,1.16,0.00,0.00,0.00,0.00,0.00
13,5164000.00,431850.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00
14,5164000.00,361650.00,0.10,0.85,0.00,0.00,0.00,0.00,0.00
15,5164000.00,496900.00,0.10,0.64,0.00,0.00,0.00,0.00,0.00
16,5164000.00,421900.00,0.20,0.73,0.00,0.00,0.00,0.00,0.00
17,5164000.00,332750.00,0.15,1.05,0.00,0.00,0.00,0.00,0.00
18,5164000.00,367000.00,0.05,0.79,0.00,0.00,0.00,0.00,0.00
19,5164000.00,620150.00,0.15,1.27,0.00,0.00,0.00,0.00,0.00
