GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,36125.00,10153.50,0.14,9.27,0.00,0.00,0.00,0.00,0.00
1,87250.00,22218.50,0.46,2.41,0.00,0.00,0.00,0.00,0.00
2,87250.00,15037.00,0.20,3.00,0.00,0.00,0.00,0.00,0.00
3,87250.00,16431.00,0.24,3.36,0.00,0.00,0.00,0.00,0.00
4,87250.00,14772.50,0.24,5.28,0.00,0.00,0.00,0.00,0.00
5,87250.00,13644.50,0.24,3.17,0.00,0.00,0.00,0.00,0.00
6,87250.00,16422.50,0.28,5.02,0.00,0.00,0.00,0.00,0.00
7,87250.00,15012.50,0.22,2.50,0.00,0.00,0.00,0.00,0.00
8,87250.00,16441.50,0.32,2.91,0.00,0.00,0.00,0.00,0.00
9,87250.00,16281.00,0.18,2.97,0.00,0.00,0.00,0.00,0.00
10,87250.00,13494.00,0.22,5.25,0.00,0.00,0.00,0.00,0.00
11,87250.00,12991.00,0.20,1.86,0.00,0.00,0.00,0.00,0.00
12,87250.00,16331.00,0.18,3.25,0.00,0.00,0.00,0.00,0.00
13,99850.00,17801.00,0.18,2.90,0.00,0.00,0.00,0.00,0.00
14,99850.00,15691.50,0.24,5.19,0.00,0.00,0.00,0.00,0.00
15,99850.00,13644.00,0.16,4.26,0.00,0.00,0.00,0.00,0.00
16,99850.00,13371.00,0.20,1.93,0.00,0.00,0.00,0.00,0.00
17,99850.00,12953.50,0.16,2.15,0.00,0.00,0.00,0.00,0.00
18,99850.00,13558.50,0.16,2.39,0.00,0.00,0.00,0.00,0.00
19,99850.00,16149.00,0.18,4.65,0.00,0.00,0.00,0.00,0.00
20,99850.00,20194.00,0.26,2.47,0.00,0.00,0.00,0.00,0.00
21,99850.00,15858.00,0.32,1.70,0.00,0.00,0.00,0.00,0.00
22,99850.00,13813.50,0.20,2.46,0.00,0.00,0.00,0.00,0.00
23,99850.00,12252.50,0.18,2.07,0.00,0.00,0.00,0.00,0.00
24,99850.00,17081.00,0.12,3.05,0.00,0.00,0.00,0.00,0.00
25,99850.00,18057.00,0.20,5.25,0.00,0.00,0.00,0.00,0.00
26,99850.00,16589.00,0.22,3.90,0.00,0.00,0.00,0.00,0.00
27,99850.00,11336.50,0.22,2.88,0.00,0.00,0.00,0.00,0.00
28,109400.00,16617.00,0.20,2.31,0.00,0.00,0.00,0.00,0.00
29,109400.00,16180.00,0.14,3.38,0.00,0.00,0.00,0.00,0.00
30,109400.00,17256.00,0.28,2.92,0.00,0.00,0.00,0.00,0.00
31,128300.00,15125.50,0.20,5.12,0.00,0.00,0.00,0.00,0.00
32,128300.00,11633.50,0.16,2.57,0.00,0.00,0.00,0.00,0.00
33,128300.00,10732.50,0.08,5.20,0.00,0.00,0.00,0.00,0.00
34,128300.00,15030.00,0.18,2.43,0.00,0.00,0.00,0.00,0.00
35,128300.00,14229.00,0.20,1.35,0.00,0.00,0.00,0.00,0.00
36,128300.00,14668.50,0.14,2.32,0.00,0.00,0.00,0.00,0.00
37,128300.00,12045.00,0.24,2.03,0.00,0.00,0.00,0.00,0.00
38,128300.00,12117.00,0.10,2.31,0.00,0.00,0.00,0.00,0.00
39,128300.00,9534.50,0.10,1.12,0.00,0.00,0.00,0.00,0.00
40,128300.00,11045.00,0.08,2.72,0.00,0.00,0.00,0.00,0.00
41,128300.00,13231.50,0.16,1.65,0.00,0.00,0.00,0.00,0.00
42,128300.00,9049.50,0.10,1.87,0.00,0.00,0.00,0.00,0.00
43,128300.00,11998.50,0.16,2.53,0.00,0.00,0.00,0.00,0.00
44,128300.00,12468.50,0.16,5.25,0.00,0.00,0.00,0.00,0.00
45,128300.00,16416.50,0.16,5.37,0.00,0.00,0.00,0.00,0.00
46,128300.00,15793.50,0.14,2.89,0.00,0.00,0.00,0.00,0.00
47,128300.00,16099.50,0.24,2.22,0.00,0.00,0.00,0.00,0.00
48,146500.00,18228.50,0.36,2.13,0.00,0.00,0.00,0.00,0.00
49,146500.00,9398.50,0.14,1.39,0.00,0.00,0.00,0.00,0.00
